Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2004;;;Kvinnor;-24;10584
HT2004;;;Kvinnor;25-34;5357
HT2004;;;Kvinnor;35-;4183
HT2004;;;Kvinnor;Total;20124
HT2004;;;Män;-24;10095
HT2004;;;Män;25-34;2964
HT2004;;;Män;35-;1236
HT2004;;;Män;Total;14295
HT2004;;;Total;-24;20679
HT2004;;;Total;25-34;8321
HT2004;;;Total;35-;5419
HT2004;;;Total;Total;34419
HT2004;;Agronomexamen;Kvinnor;-24;89
HT2004;;Agronomexamen;Kvinnor;25-34;21
HT2004;;Agronomexamen;Kvinnor;35-;1
HT2004;;Agronomexamen;Kvinnor;Total;111
HT2004;;Agronomexamen;Män;-24;31
HT2004;;Agronomexamen;Män;25-34;1
HT2004;;Agronomexamen;Män;35-;1
HT2004;;Agronomexamen;Män;Total;33
HT2004;;Agronomexamen;Total;-24;120
HT2004;;Agronomexamen;Total;25-34;22
HT2004;;Agronomexamen;Total;35-;2
HT2004;;Agronomexamen;Total;Total;144
HT2004;;Apotekarexamen;Kvinnor;-24;120
HT2004;;Apotekarexamen;Kvinnor;25-34;19
HT2004;;Apotekarexamen;Kvinnor;35-;8
HT2004;;Apotekarexamen;Kvinnor;Total;147
HT2004;;Apotekarexamen;Män;-24;52
HT2004;;Apotekarexamen;Män;25-34;10
HT2004;;Apotekarexamen;Män;35-;3
HT2004;;Apotekarexamen;Män;Total;65
HT2004;;Apotekarexamen;Total;-24;172
HT2004;;Apotekarexamen;Total;25-34;29
HT2004;;Apotekarexamen;Total;35-;11
HT2004;;Apotekarexamen;Total;Total;212
HT2004;;Arbetsterapeutexamen;Kvinnor;-24;129
HT2004;;Arbetsterapeutexamen;Kvinnor;25-34;66
HT2004;;Arbetsterapeutexamen;Kvinnor;35-;76
HT2004;;Arbetsterapeutexamen;Kvinnor;Total;271
HT2004;;Arbetsterapeutexamen;Män;-24;18
HT2004;;Arbetsterapeutexamen;Män;25-34;14
HT2004;;Arbetsterapeutexamen;Män;35-;6
HT2004;;Arbetsterapeutexamen;Män;Total;38
HT2004;;Arbetsterapeutexamen;Total;-24;147
HT2004;;Arbetsterapeutexamen;Total;25-34;80
HT2004;;Arbetsterapeutexamen;Total;35-;82
HT2004;;Arbetsterapeutexamen;Total;Total;309
HT2004;;Arkitektexamen;Kvinnor;-24;105
HT2004;;Arkitektexamen;Kvinnor;25-34;35
HT2004;;Arkitektexamen;Kvinnor;35-;6
HT2004;;Arkitektexamen;Kvinnor;Total;146
HT2004;;Arkitektexamen;Män;-24;53
HT2004;;Arkitektexamen;Män;25-34;34
HT2004;;Arkitektexamen;Män;35-;5
HT2004;;Arkitektexamen;Män;Total;92
HT2004;;Arkitektexamen;Total;-24;158
HT2004;;Arkitektexamen;Total;25-34;69
HT2004;;Arkitektexamen;Total;35-;11
HT2004;;Arkitektexamen;Total;Total;238
HT2004;;Audionomexamen;Kvinnor;-24;36
HT2004;;Audionomexamen;Kvinnor;25-34;18
HT2004;;Audionomexamen;Kvinnor;35-;8
HT2004;;Audionomexamen;Kvinnor;Total;62
HT2004;;Audionomexamen;Män;-24;4
HT2004;;Audionomexamen;Män;25-34;5
HT2004;;Audionomexamen;Män;35-;1
HT2004;;Audionomexamen;Män;Total;10
HT2004;;Audionomexamen;Total;-24;40
HT2004;;Audionomexamen;Total;25-34;23
HT2004;;Audionomexamen;Total;35-;9
HT2004;;Audionomexamen;Total;Total;72
HT2004;;Barnmorskeexamen;Kvinnor;-24;12
HT2004;;Barnmorskeexamen;Kvinnor;25-34;91
HT2004;;Barnmorskeexamen;Kvinnor;35-;39
HT2004;;Barnmorskeexamen;Kvinnor;Total;142
HT2004;;Barnmorskeexamen;Män;25-34;1
HT2004;;Barnmorskeexamen;Män;Total;1
HT2004;;Barnmorskeexamen;Total;-24;12
HT2004;;Barnmorskeexamen;Total;25-34;92
HT2004;;Barnmorskeexamen;Total;35-;39
HT2004;;Barnmorskeexamen;Total;Total;143
HT2004;;Biomedicinsk analytikerexamen;Kvinnor;-24;209
HT2004;;Biomedicinsk analytikerexamen;Kvinnor;25-34;81
HT2004;;Biomedicinsk analytikerexamen;Kvinnor;35-;40
HT2004;;Biomedicinsk analytikerexamen;Kvinnor;Total;330
HT2004;;Biomedicinsk analytikerexamen;Män;-24;49
HT2004;;Biomedicinsk analytikerexamen;Män;25-34;21
HT2004;;Biomedicinsk analytikerexamen;Män;35-;13
HT2004;;Biomedicinsk analytikerexamen;Män;Total;83
HT2004;;Biomedicinsk analytikerexamen;Total;-24;258
HT2004;;Biomedicinsk analytikerexamen;Total;25-34;102
HT2004;;Biomedicinsk analytikerexamen;Total;35-;53
HT2004;;Biomedicinsk analytikerexamen;Total;Total;413
HT2004;;Brandingenjörsexamen;Kvinnor;-24;12
HT2004;;Brandingenjörsexamen;Kvinnor;25-34;1
HT2004;;Brandingenjörsexamen;Kvinnor;Total;13
HT2004;;Brandingenjörsexamen;Män;-24;28
HT2004;;Brandingenjörsexamen;Män;25-34;13
HT2004;;Brandingenjörsexamen;Män;35-;1
HT2004;;Brandingenjörsexamen;Män;Total;42
HT2004;;Brandingenjörsexamen;Total;-24;40
HT2004;;Brandingenjörsexamen;Total;25-34;14
HT2004;;Brandingenjörsexamen;Total;35-;1
HT2004;;Brandingenjörsexamen;Total;Total;55
HT2004;;Civilingenjörsexamen;Kvinnor;-24;1484
HT2004;;Civilingenjörsexamen;Kvinnor;25-34;118
HT2004;;Civilingenjörsexamen;Kvinnor;35-;18
HT2004;;Civilingenjörsexamen;Kvinnor;Total;1620
HT2004;;Civilingenjörsexamen;Män;-24;4613
HT2004;;Civilingenjörsexamen;Män;25-34;464
HT2004;;Civilingenjörsexamen;Män;35-;87
HT2004;;Civilingenjörsexamen;Män;Total;5164
HT2004;;Civilingenjörsexamen;Total;-24;6097
HT2004;;Civilingenjörsexamen;Total;25-34;582
HT2004;;Civilingenjörsexamen;Total;35-;105
HT2004;;Civilingenjörsexamen;Total;Total;6784
HT2004;;Dietistexamen;Kvinnor;-24;28
HT2004;;Dietistexamen;Kvinnor;25-34;5
HT2004;;Dietistexamen;Kvinnor;35-;4
HT2004;;Dietistexamen;Kvinnor;Total;37
HT2004;;Dietistexamen;Män;-24;3
HT2004;;Dietistexamen;Män;25-34;5
HT2004;;Dietistexamen;Män;Total;8
HT2004;;Dietistexamen;Total;-24;31
HT2004;;Dietistexamen;Total;25-34;10
HT2004;;Dietistexamen;Total;35-;4
HT2004;;Dietistexamen;Total;Total;45
HT2004;;Djursjukvårdarexamen;Kvinnor;-24;11
HT2004;;Djursjukvårdarexamen;Kvinnor;25-34;20
HT2004;;Djursjukvårdarexamen;Kvinnor;35-;5
HT2004;;Djursjukvårdarexamen;Kvinnor;Total;36
HT2004;;Djursjukvårdarexamen;Män;-24;1
HT2004;;Djursjukvårdarexamen;Män;25-34;2
HT2004;;Djursjukvårdarexamen;Män;35-;1
HT2004;;Djursjukvårdarexamen;Män;Total;4
HT2004;;Djursjukvårdarexamen;Total;-24;12
HT2004;;Djursjukvårdarexamen;Total;25-34;22
HT2004;;Djursjukvårdarexamen;Total;35-;6
HT2004;;Djursjukvårdarexamen;Total;Total;40
HT2004;;Folkhögskollärarexamen;Kvinnor;25-34;5
HT2004;;Folkhögskollärarexamen;Kvinnor;35-;31
HT2004;;Folkhögskollärarexamen;Kvinnor;Total;36
HT2004;;Folkhögskollärarexamen;Män;25-34;5
HT2004;;Folkhögskollärarexamen;Män;35-;20
HT2004;;Folkhögskollärarexamen;Män;Total;25
HT2004;;Folkhögskollärarexamen;Total;25-34;10
HT2004;;Folkhögskollärarexamen;Total;35-;51
HT2004;;Folkhögskollärarexamen;Total;Total;61
HT2004;;Fysioterapeutexamen;Kvinnor;-24;184
HT2004;;Fysioterapeutexamen;Kvinnor;25-34;45
HT2004;;Fysioterapeutexamen;Kvinnor;35-;38
HT2004;;Fysioterapeutexamen;Kvinnor;Total;267
HT2004;;Fysioterapeutexamen;Män;-24;42
HT2004;;Fysioterapeutexamen;Män;25-34;36
HT2004;;Fysioterapeutexamen;Män;35-;9
HT2004;;Fysioterapeutexamen;Män;Total;87
HT2004;;Fysioterapeutexamen;Total;-24;226
HT2004;;Fysioterapeutexamen;Total;25-34;81
HT2004;;Fysioterapeutexamen;Total;35-;47
HT2004;;Fysioterapeutexamen;Total;Total;354
HT2004;;Gymnasielärarexamen;Kvinnor;25-34;1
HT2004;;Gymnasielärarexamen;Kvinnor;35-;3
HT2004;;Gymnasielärarexamen;Kvinnor;Total;4
HT2004;;Gymnasielärarexamen;Män;35-;6
HT2004;;Gymnasielärarexamen;Män;Total;6
HT2004;;Gymnasielärarexamen;Total;25-34;1
HT2004;;Gymnasielärarexamen;Total;35-;9
HT2004;;Gymnasielärarexamen;Total;Total;10
HT2004;;Hortonomexamen;Kvinnor;-24;11
HT2004;;Hortonomexamen;Kvinnor;25-34;1
HT2004;;Hortonomexamen;Kvinnor;Total;12
HT2004;;Hortonomexamen;Män;-24;1
HT2004;;Hortonomexamen;Män;35-;1
HT2004;;Hortonomexamen;Män;Total;2
HT2004;;Hortonomexamen;Total;-24;12
HT2004;;Hortonomexamen;Total;25-34;1
HT2004;;Hortonomexamen;Total;35-;1
HT2004;;Hortonomexamen;Total;Total;14
HT2004;;Högskoleingenjörsexamen;Kvinnor;-24;548
HT2004;;Högskoleingenjörsexamen;Kvinnor;25-34;128
HT2004;;Högskoleingenjörsexamen;Kvinnor;35-;50
HT2004;;Högskoleingenjörsexamen;Kvinnor;Total;726
HT2004;;Högskoleingenjörsexamen;Män;-24;2126
HT2004;;Högskoleingenjörsexamen;Män;25-34;471
HT2004;;Högskoleingenjörsexamen;Män;35-;157
HT2004;;Högskoleingenjörsexamen;Män;Total;2754
HT2004;;Högskoleingenjörsexamen;Total;-24;2674
HT2004;;Högskoleingenjörsexamen;Total;25-34;599
HT2004;;Högskoleingenjörsexamen;Total;35-;207
HT2004;;Högskoleingenjörsexamen;Total;Total;3480
HT2004;;Juristexamen;Kvinnor;-24;502
HT2004;;Juristexamen;Kvinnor;25-34;85
HT2004;;Juristexamen;Kvinnor;35-;24
HT2004;;Juristexamen;Kvinnor;Total;611
HT2004;;Juristexamen;Män;-24;307
HT2004;;Juristexamen;Män;25-34;132
HT2004;;Juristexamen;Män;35-;32
HT2004;;Juristexamen;Män;Total;471
HT2004;;Juristexamen;Total;-24;809
HT2004;;Juristexamen;Total;25-34;217
HT2004;;Juristexamen;Total;35-;56
HT2004;;Juristexamen;Total;Total;1082
HT2004;;Jägmästarexamen;Kvinnor;-24;25
HT2004;;Jägmästarexamen;Kvinnor;35-;1
HT2004;;Jägmästarexamen;Kvinnor;Total;26
HT2004;;Jägmästarexamen;Män;-24;48
HT2004;;Jägmästarexamen;Män;25-34;10
HT2004;;Jägmästarexamen;Män;35-;2
HT2004;;Jägmästarexamen;Män;Total;60
HT2004;;Jägmästarexamen;Total;-24;73
HT2004;;Jägmästarexamen;Total;25-34;10
HT2004;;Jägmästarexamen;Total;35-;3
HT2004;;Jägmästarexamen;Total;Total;86
HT2004;;Konstnärlig högskoleexamen konst och design;Kvinnor;-24;13
HT2004;;Konstnärlig högskoleexamen konst och design;Kvinnor;25-34;1
HT2004;;Konstnärlig högskoleexamen konst och design;Kvinnor;Total;14
HT2004;;Konstnärlig högskoleexamen konst och design;Män;-24;12
HT2004;;Konstnärlig högskoleexamen konst och design;Män;25-34;3
HT2004;;Konstnärlig högskoleexamen konst och design;Män;Total;15
HT2004;;Konstnärlig högskoleexamen konst och design;Total;-24;25
HT2004;;Konstnärlig högskoleexamen konst och design;Total;25-34;4
HT2004;;Konstnärlig högskoleexamen konst och design;Total;Total;29
HT2004;;Landskapsarkitektexamen;Kvinnor;-24;62
HT2004;;Landskapsarkitektexamen;Kvinnor;25-34;17
HT2004;;Landskapsarkitektexamen;Kvinnor;35-;3
HT2004;;Landskapsarkitektexamen;Kvinnor;Total;82
HT2004;;Landskapsarkitektexamen;Män;-24;13
HT2004;;Landskapsarkitektexamen;Män;25-34;4
HT2004;;Landskapsarkitektexamen;Män;35-;1
HT2004;;Landskapsarkitektexamen;Män;Total;18
HT2004;;Landskapsarkitektexamen;Total;-24;75
HT2004;;Landskapsarkitektexamen;Total;25-34;21
HT2004;;Landskapsarkitektexamen;Total;35-;4
HT2004;;Landskapsarkitektexamen;Total;Total;100
HT2004;;Landskapsingenjörsexamen;Kvinnor;-24;16
HT2004;;Landskapsingenjörsexamen;Kvinnor;25-34;10
HT2004;;Landskapsingenjörsexamen;Kvinnor;35-;11
HT2004;;Landskapsingenjörsexamen;Kvinnor;Total;37
HT2004;;Landskapsingenjörsexamen;Män;-24;6
HT2004;;Landskapsingenjörsexamen;Män;25-34;8
HT2004;;Landskapsingenjörsexamen;Män;35-;4
HT2004;;Landskapsingenjörsexamen;Män;Total;18
HT2004;;Landskapsingenjörsexamen;Total;-24;22
HT2004;;Landskapsingenjörsexamen;Total;25-34;18
HT2004;;Landskapsingenjörsexamen;Total;35-;15
HT2004;;Landskapsingenjörsexamen;Total;Total;55
HT2004;;Lantmästarexamen;Kvinnor;-24;3
HT2004;;Lantmästarexamen;Kvinnor;25-34;4
HT2004;;Lantmästarexamen;Kvinnor;35-;1
HT2004;;Lantmästarexamen;Kvinnor;Total;8
HT2004;;Lantmästarexamen;Män;-24;24
HT2004;;Lantmästarexamen;Män;25-34;14
HT2004;;Lantmästarexamen;Män;35-;2
HT2004;;Lantmästarexamen;Män;Total;40
HT2004;;Lantmästarexamen;Total;-24;27
HT2004;;Lantmästarexamen;Total;25-34;18
HT2004;;Lantmästarexamen;Total;35-;3
HT2004;;Lantmästarexamen;Total;Total;48
HT2004;;Logopedexamen;Kvinnor;-24;53
HT2004;;Logopedexamen;Kvinnor;25-34;14
HT2004;;Logopedexamen;Kvinnor;35-;11
HT2004;;Logopedexamen;Kvinnor;Total;78
HT2004;;Logopedexamen;Män;-24;3
HT2004;;Logopedexamen;Män;25-34;1
HT2004;;Logopedexamen;Män;35-;3
HT2004;;Logopedexamen;Män;Total;7
HT2004;;Logopedexamen;Total;-24;56
HT2004;;Logopedexamen;Total;25-34;15
HT2004;;Logopedexamen;Total;35-;14
HT2004;;Logopedexamen;Total;Total;85
HT2004;;Läkarexamen;Kvinnor;-24;234
HT2004;;Läkarexamen;Kvinnor;25-34;37
HT2004;;Läkarexamen;Kvinnor;35-;12
HT2004;;Läkarexamen;Kvinnor;Total;283
HT2004;;Läkarexamen;Män;-24;172
HT2004;;Läkarexamen;Män;25-34;58
HT2004;;Läkarexamen;Män;35-;23
HT2004;;Läkarexamen;Män;Total;253
HT2004;;Läkarexamen;Total;-24;406
HT2004;;Läkarexamen;Total;25-34;95
HT2004;;Läkarexamen;Total;35-;35
HT2004;;Läkarexamen;Total;Total;536
HT2004;;Lärarexamen;Kvinnor;-24;4159
HT2004;;Lärarexamen;Kvinnor;25-34;2236
HT2004;;Lärarexamen;Kvinnor;35-;1405
HT2004;;Lärarexamen;Kvinnor;Total;7800
HT2004;;Lärarexamen;Män;-24;1520
HT2004;;Lärarexamen;Män;25-34;843
HT2004;;Lärarexamen;Män;35-;421
HT2004;;Lärarexamen;Män;Total;2784
HT2004;;Lärarexamen;Total;-24;5679
HT2004;;Lärarexamen;Total;25-34;3079
HT2004;;Lärarexamen;Total;35-;1826
HT2004;;Lärarexamen;Total;Total;10584
HT2004;;Optikerexamen;Kvinnor;-24;47
HT2004;;Optikerexamen;Kvinnor;25-34;15
HT2004;;Optikerexamen;Kvinnor;35-;8
HT2004;;Optikerexamen;Kvinnor;Total;70
HT2004;;Optikerexamen;Män;-24;8
HT2004;;Optikerexamen;Män;25-34;10
HT2004;;Optikerexamen;Män;35-;4
HT2004;;Optikerexamen;Män;Total;22
HT2004;;Optikerexamen;Total;-24;55
HT2004;;Optikerexamen;Total;25-34;25
HT2004;;Optikerexamen;Total;35-;12
HT2004;;Optikerexamen;Total;Total;92
HT2004;;Organistexamen;Kvinnor;25-34;1
HT2004;;Organistexamen;Kvinnor;Total;1
HT2004;;Organistexamen;Män;-24;1
HT2004;;Organistexamen;Män;35-;1
HT2004;;Organistexamen;Män;Total;2
HT2004;;Organistexamen;Total;-24;1
HT2004;;Organistexamen;Total;25-34;1
HT2004;;Organistexamen;Total;35-;1
HT2004;;Organistexamen;Total;Total;3
HT2004;;Ortopedingenjörsexamen;Kvinnor;-24;5
HT2004;;Ortopedingenjörsexamen;Kvinnor;25-34;3
HT2004;;Ortopedingenjörsexamen;Kvinnor;35-;1
HT2004;;Ortopedingenjörsexamen;Kvinnor;Total;9
HT2004;;Ortopedingenjörsexamen;Män;-24;9
HT2004;;Ortopedingenjörsexamen;Män;25-34;1
HT2004;;Ortopedingenjörsexamen;Män;35-;1
HT2004;;Ortopedingenjörsexamen;Män;Total;11
HT2004;;Ortopedingenjörsexamen;Total;-24;14
HT2004;;Ortopedingenjörsexamen;Total;25-34;4
HT2004;;Ortopedingenjörsexamen;Total;35-;2
HT2004;;Ortopedingenjörsexamen;Total;Total;20
HT2004;;Psykologexamen;Kvinnor;-24;86
HT2004;;Psykologexamen;Kvinnor;25-34;50
HT2004;;Psykologexamen;Kvinnor;35-;19
HT2004;;Psykologexamen;Kvinnor;Total;155
HT2004;;Psykologexamen;Män;-24;44
HT2004;;Psykologexamen;Män;25-34;46
HT2004;;Psykologexamen;Män;35-;19
HT2004;;Psykologexamen;Män;Total;109
HT2004;;Psykologexamen;Total;-24;130
HT2004;;Psykologexamen;Total;25-34;96
HT2004;;Psykologexamen;Total;35-;38
HT2004;;Psykologexamen;Total;Total;264
HT2004;;Psykoterapeutexamen;Kvinnor;25-34;8
HT2004;;Psykoterapeutexamen;Kvinnor;35-;14
HT2004;;Psykoterapeutexamen;Kvinnor;Total;22
HT2004;;Psykoterapeutexamen;Män;25-34;6
HT2004;;Psykoterapeutexamen;Män;35-;8
