Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2013;;;Kvinnor;-24;15499
HT2013;;;Kvinnor;25-34;5250
HT2013;;;Kvinnor;35-;3836
HT2013;;;Kvinnor;Total;24585
HT2013;;;Män;-24;13377
HT2013;;;Män;25-34;2848
HT2013;;;Män;35-;1035
HT2013;;;Män;Total;17260
HT2013;;;Total;-24;28876
HT2013;;;Total;25-34;8098
HT2013;;;Total;35-;4871
HT2013;;;Total;Total;41845
HT2013;;Agronomexamen;Kvinnor;-24;103
HT2013;;Agronomexamen;Kvinnor;25-34;16
HT2013;;Agronomexamen;Kvinnor;35-;3
HT2013;;Agronomexamen;Kvinnor;Total;122
HT2013;;Agronomexamen;Män;-24;31
HT2013;;Agronomexamen;Män;25-34;5
HT2013;;Agronomexamen;Män;35-;1
HT2013;;Agronomexamen;Män;Total;37
HT2013;;Agronomexamen;Total;-24;134
HT2013;;Agronomexamen;Total;25-34;21
HT2013;;Agronomexamen;Total;35-;4
HT2013;;Agronomexamen;Total;Total;159
HT2013;;Apotekarexamen;Kvinnor;-24;149
HT2013;;Apotekarexamen;Kvinnor;25-34;11
HT2013;;Apotekarexamen;Kvinnor;35-;5
HT2013;;Apotekarexamen;Kvinnor;Total;165
HT2013;;Apotekarexamen;Män;-24;44
HT2013;;Apotekarexamen;Män;25-34;4
HT2013;;Apotekarexamen;Män;35-;2
HT2013;;Apotekarexamen;Män;Total;50
HT2013;;Apotekarexamen;Total;-24;193
HT2013;;Apotekarexamen;Total;25-34;15
HT2013;;Apotekarexamen;Total;35-;7
HT2013;;Apotekarexamen;Total;Total;215
HT2013;;Arbetsterapeutexamen;Kvinnor;-24;211
HT2013;;Arbetsterapeutexamen;Kvinnor;25-34;90
HT2013;;Arbetsterapeutexamen;Kvinnor;35-;59
HT2013;;Arbetsterapeutexamen;Kvinnor;Total;360
HT2013;;Arbetsterapeutexamen;Män;-24;44
HT2013;;Arbetsterapeutexamen;Män;25-34;14
HT2013;;Arbetsterapeutexamen;Män;35-;2
HT2013;;Arbetsterapeutexamen;Män;Total;60
HT2013;;Arbetsterapeutexamen;Total;-24;255
HT2013;;Arbetsterapeutexamen;Total;25-34;104
HT2013;;Arbetsterapeutexamen;Total;35-;61
HT2013;;Arbetsterapeutexamen;Total;Total;420
HT2013;;Arkitektexamen;Kvinnor;-24;187
HT2013;;Arkitektexamen;Kvinnor;25-34;33
HT2013;;Arkitektexamen;Kvinnor;35-;6
HT2013;;Arkitektexamen;Kvinnor;Total;226
HT2013;;Arkitektexamen;Män;-24;95
HT2013;;Arkitektexamen;Män;25-34;43
HT2013;;Arkitektexamen;Män;35-;10
HT2013;;Arkitektexamen;Män;Total;148
HT2013;;Arkitektexamen;Total;-24;282
HT2013;;Arkitektexamen;Total;25-34;76
HT2013;;Arkitektexamen;Total;35-;16
HT2013;;Arkitektexamen;Total;Total;374
HT2013;;Audionomexamen;Kvinnor;-24;54
HT2013;;Audionomexamen;Kvinnor;25-34;26
HT2013;;Audionomexamen;Kvinnor;35-;10
HT2013;;Audionomexamen;Kvinnor;Total;90
HT2013;;Audionomexamen;Män;-24;24
HT2013;;Audionomexamen;Män;25-34;15
HT2013;;Audionomexamen;Män;35-;3
HT2013;;Audionomexamen;Män;Total;42
HT2013;;Audionomexamen;Total;-24;78
HT2013;;Audionomexamen;Total;25-34;41
HT2013;;Audionomexamen;Total;35-;13
HT2013;;Audionomexamen;Total;Total;132
HT2013;;Barnmorskeexamen;Kvinnor;-24;6
HT2013;;Barnmorskeexamen;Kvinnor;25-34;92
HT2013;;Barnmorskeexamen;Kvinnor;35-;38
HT2013;;Barnmorskeexamen;Kvinnor;Total;136
HT2013;;Barnmorskeexamen;Män;25-34;1
HT2013;;Barnmorskeexamen;Män;35-;1
HT2013;;Barnmorskeexamen;Män;Total;2
HT2013;;Barnmorskeexamen;Total;-24;6
HT2013;;Barnmorskeexamen;Total;25-34;93
HT2013;;Barnmorskeexamen;Total;35-;39
HT2013;;Barnmorskeexamen;Total;Total;138
HT2013;;Biomedicinsk analytikerexamen;Kvinnor;-24;349
HT2013;;Biomedicinsk analytikerexamen;Kvinnor;25-34;118
HT2013;;Biomedicinsk analytikerexamen;Kvinnor;35-;38
HT2013;;Biomedicinsk analytikerexamen;Kvinnor;Total;505
HT2013;;Biomedicinsk analytikerexamen;Män;-24;97
HT2013;;Biomedicinsk analytikerexamen;Män;25-34;46
HT2013;;Biomedicinsk analytikerexamen;Män;35-;11
HT2013;;Biomedicinsk analytikerexamen;Män;Total;154
HT2013;;Biomedicinsk analytikerexamen;Total;-24;446
HT2013;;Biomedicinsk analytikerexamen;Total;25-34;164
HT2013;;Biomedicinsk analytikerexamen;Total;35-;49
HT2013;;Biomedicinsk analytikerexamen;Total;Total;659
HT2013;;Brandingenjörsexamen;Kvinnor;-24;25
HT2013;;Brandingenjörsexamen;Kvinnor;25-34;3
HT2013;;Brandingenjörsexamen;Kvinnor;Total;28
HT2013;;Brandingenjörsexamen;Män;-24;56
HT2013;;Brandingenjörsexamen;Män;25-34;6
HT2013;;Brandingenjörsexamen;Män;Total;62
HT2013;;Brandingenjörsexamen;Total;-24;81
HT2013;;Brandingenjörsexamen;Total;25-34;9
HT2013;;Brandingenjörsexamen;Total;Total;90
HT2013;;Civilekonomexamen;Kvinnor;-24;711
HT2013;;Civilekonomexamen;Kvinnor;25-34;44
HT2013;;Civilekonomexamen;Kvinnor;35-;3
HT2013;;Civilekonomexamen;Kvinnor;Total;758
HT2013;;Civilekonomexamen;Män;-24;617
HT2013;;Civilekonomexamen;Män;25-34;49
HT2013;;Civilekonomexamen;Män;35-;4
HT2013;;Civilekonomexamen;Män;Total;670
HT2013;;Civilekonomexamen;Total;-24;1328
HT2013;;Civilekonomexamen;Total;25-34;93
HT2013;;Civilekonomexamen;Total;35-;7
HT2013;;Civilekonomexamen;Total;Total;1428
HT2013;;Civilingenjörsexamen;Kvinnor;-24;2388
HT2013;;Civilingenjörsexamen;Kvinnor;25-34;97
HT2013;;Civilingenjörsexamen;Kvinnor;35-;13
HT2013;;Civilingenjörsexamen;Kvinnor;Total;2498
HT2013;;Civilingenjörsexamen;Män;-24;5296
HT2013;;Civilingenjörsexamen;Män;25-34;359
HT2013;;Civilingenjörsexamen;Män;35-;35
HT2013;;Civilingenjörsexamen;Män;Total;5690
HT2013;;Civilingenjörsexamen;Total;-24;7684
HT2013;;Civilingenjörsexamen;Total;25-34;456
HT2013;;Civilingenjörsexamen;Total;35-;48
HT2013;;Civilingenjörsexamen;Total;Total;8188
HT2013;;Dietistexamen;Kvinnor;-24;32
HT2013;;Dietistexamen;Kvinnor;25-34;9
HT2013;;Dietistexamen;Kvinnor;35-;1
HT2013;;Dietistexamen;Kvinnor;Total;42
HT2013;;Dietistexamen;Män;-24;3
HT2013;;Dietistexamen;Män;25-34;2
HT2013;;Dietistexamen;Män;35-;1
HT2013;;Dietistexamen;Män;Total;6
HT2013;;Dietistexamen;Total;-24;35
HT2013;;Dietistexamen;Total;25-34;11
HT2013;;Dietistexamen;Total;35-;2
HT2013;;Dietistexamen;Total;Total;48
HT2013;;Folkhögskollärarexamen;Kvinnor;25-34;13
HT2013;;Folkhögskollärarexamen;Kvinnor;35-;23
HT2013;;Folkhögskollärarexamen;Kvinnor;Total;36
HT2013;;Folkhögskollärarexamen;Män;25-34;3
HT2013;;Folkhögskollärarexamen;Män;35-;10
HT2013;;Folkhögskollärarexamen;Män;Total;13
HT2013;;Folkhögskollärarexamen;Total;25-34;16
HT2013;;Folkhögskollärarexamen;Total;35-;33
HT2013;;Folkhögskollärarexamen;Total;Total;49
HT2013;;Fysioterapeutexamen;Kvinnor;-24;230
HT2013;;Fysioterapeutexamen;Kvinnor;25-34;53
HT2013;;Fysioterapeutexamen;Kvinnor;35-;9
HT2013;;Fysioterapeutexamen;Kvinnor;Total;292
HT2013;;Fysioterapeutexamen;Män;-24;116
HT2013;;Fysioterapeutexamen;Män;25-34;32
HT2013;;Fysioterapeutexamen;Män;35-;7
HT2013;;Fysioterapeutexamen;Män;Total;155
HT2013;;Fysioterapeutexamen;Total;-24;346
HT2013;;Fysioterapeutexamen;Total;25-34;85
HT2013;;Fysioterapeutexamen;Total;35-;16
HT2013;;Fysioterapeutexamen;Total;Total;447
HT2013;;Förskollärarexamen;Kvinnor;-24;1605
HT2013;;Förskollärarexamen;Kvinnor;25-34;724
HT2013;;Förskollärarexamen;Kvinnor;35-;349
HT2013;;Förskollärarexamen;Kvinnor;Total;2678
HT2013;;Förskollärarexamen;Män;-24;143
HT2013;;Förskollärarexamen;Män;25-34;67
HT2013;;Förskollärarexamen;Män;35-;17
HT2013;;Förskollärarexamen;Män;Total;227
HT2013;;Förskollärarexamen;Total;-24;1748
HT2013;;Förskollärarexamen;Total;25-34;791
HT2013;;Förskollärarexamen;Total;35-;366
HT2013;;Förskollärarexamen;Total;Total;2905
HT2013;;Grundlärarexamen;Kvinnor;-24;1688
HT2013;;Grundlärarexamen;Kvinnor;25-34;517
HT2013;;Grundlärarexamen;Kvinnor;35-;222
HT2013;;Grundlärarexamen;Kvinnor;Total;2427
HT2013;;Grundlärarexamen;Män;-24;496
HT2013;;Grundlärarexamen;Män;25-34;166
HT2013;;Grundlärarexamen;Män;35-;36
HT2013;;Grundlärarexamen;Män;Total;698
HT2013;;Grundlärarexamen;Total;-24;2184
HT2013;;Grundlärarexamen;Total;25-34;683
HT2013;;Grundlärarexamen;Total;35-;258
HT2013;;Grundlärarexamen;Total;Total;3125
HT2013;;Hortonomexamen;Kvinnor;-24;8
HT2013;;Hortonomexamen;Kvinnor;25-34;1
HT2013;;Hortonomexamen;Kvinnor;35-;1
HT2013;;Hortonomexamen;Kvinnor;Total;10
HT2013;;Hortonomexamen;Män;-24;2
