Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2008;;;Kvinnor;-24;13206
HT2008;;;Kvinnor;25-34;4733
HT2008;;;Kvinnor;35-;3653
HT2008;;;Kvinnor;Total;21592
HT2008;;;Män;-24;10933
HT2008;;;Män;25-34;2197
HT2008;;;Män;35-;848
HT2008;;;Män;Total;13978
HT2008;;;Total;-24;24139
HT2008;;;Total;25-34;6930
HT2008;;;Total;35-;4501
HT2008;;;Total;Total;35570
HT2008;;Agronomexamen;Kvinnor;-24;104
HT2008;;Agronomexamen;Kvinnor;25-34;12
HT2008;;Agronomexamen;Kvinnor;35-;2
HT2008;;Agronomexamen;Kvinnor;Total;118
HT2008;;Agronomexamen;Män;-24;29
HT2008;;Agronomexamen;Män;25-34;2
HT2008;;Agronomexamen;Män;Total;31
HT2008;;Agronomexamen;Total;-24;133
HT2008;;Agronomexamen;Total;25-34;14
HT2008;;Agronomexamen;Total;35-;2
HT2008;;Agronomexamen;Total;Total;149
HT2008;;Apotekarexamen;Kvinnor;-24;132
HT2008;;Apotekarexamen;Kvinnor;25-34;9
HT2008;;Apotekarexamen;Kvinnor;35-;4
HT2008;;Apotekarexamen;Kvinnor;Total;145
HT2008;;Apotekarexamen;Män;-24;48
HT2008;;Apotekarexamen;Män;25-34;7
HT2008;;Apotekarexamen;Män;35-;5
HT2008;;Apotekarexamen;Män;Total;60
HT2008;;Apotekarexamen;Total;-24;180
HT2008;;Apotekarexamen;Total;25-34;16
HT2008;;Apotekarexamen;Total;35-;9
HT2008;;Apotekarexamen;Total;Total;205
HT2008;;Arbetsterapeutexamen;Kvinnor;-24;228
HT2008;;Arbetsterapeutexamen;Kvinnor;25-34;64
HT2008;;Arbetsterapeutexamen;Kvinnor;35-;33
HT2008;;Arbetsterapeutexamen;Kvinnor;Total;325
HT2008;;Arbetsterapeutexamen;Män;-24;22
HT2008;;Arbetsterapeutexamen;Män;25-34;7
HT2008;;Arbetsterapeutexamen;Män;35-;6
HT2008;;Arbetsterapeutexamen;Män;Total;35
HT2008;;Arbetsterapeutexamen;Total;-24;250
HT2008;;Arbetsterapeutexamen;Total;25-34;71
HT2008;;Arbetsterapeutexamen;Total;35-;39
HT2008;;Arbetsterapeutexamen;Total;Total;360
HT2008;;Arkitektexamen;Kvinnor;-24;150
HT2008;;Arkitektexamen;Kvinnor;25-34;35
HT2008;;Arkitektexamen;Kvinnor;35-;6
HT2008;;Arkitektexamen;Kvinnor;Total;191
HT2008;;Arkitektexamen;Män;-24;72
HT2008;;Arkitektexamen;Män;25-34;30
HT2008;;Arkitektexamen;Män;35-;3
HT2008;;Arkitektexamen;Män;Total;105
HT2008;;Arkitektexamen;Total;-24;222
HT2008;;Arkitektexamen;Total;25-34;65
HT2008;;Arkitektexamen;Total;35-;9
HT2008;;Arkitektexamen;Total;Total;296
HT2008;;Audionomexamen;Kvinnor;-24;29
HT2008;;Audionomexamen;Kvinnor;25-34;16
HT2008;;Audionomexamen;Kvinnor;35-;12
HT2008;;Audionomexamen;Kvinnor;Total;57
HT2008;;Audionomexamen;Män;-24;13
HT2008;;Audionomexamen;Män;25-34;3
HT2008;;Audionomexamen;Män;35-;2
HT2008;;Audionomexamen;Män;Total;18
HT2008;;Audionomexamen;Total;-24;42
HT2008;;Audionomexamen;Total;25-34;19
HT2008;;Audionomexamen;Total;35-;14
HT2008;;Audionomexamen;Total;Total;75
HT2008;;Barnmorskeexamen;Kvinnor;-24;2
HT2008;;Barnmorskeexamen;Kvinnor;25-34;96
HT2008;;Barnmorskeexamen;Kvinnor;35-;57
HT2008;;Barnmorskeexamen;Kvinnor;Total;155
HT2008;;Barnmorskeexamen;Total;-24;2
HT2008;;Barnmorskeexamen;Total;25-34;96
HT2008;;Barnmorskeexamen;Total;35-;57
HT2008;;Barnmorskeexamen;Total;Total;155
HT2008;;Biomedicinsk analytikerexamen;Kvinnor;-24;215
HT2008;;Biomedicinsk analytikerexamen;Kvinnor;25-34;65
HT2008;;Biomedicinsk analytikerexamen;Kvinnor;35-;28
HT2008;;Biomedicinsk analytikerexamen;Kvinnor;Total;308
HT2008;;Biomedicinsk analytikerexamen;Män;-24;50
HT2008;;Biomedicinsk analytikerexamen;Män;25-34;16
HT2008;;Biomedicinsk analytikerexamen;Män;35-;13
HT2008;;Biomedicinsk analytikerexamen;Män;Total;79
HT2008;;Biomedicinsk analytikerexamen;Total;-24;265
HT2008;;Biomedicinsk analytikerexamen;Total;25-34;81
HT2008;;Biomedicinsk analytikerexamen;Total;35-;41
HT2008;;Biomedicinsk analytikerexamen;Total;Total;387
HT2008;;Brandingenjörsexamen;Kvinnor;-24;25
HT2008;;Brandingenjörsexamen;Kvinnor;25-34;4
HT2008;;Brandingenjörsexamen;Kvinnor;Total;29
HT2008;;Brandingenjörsexamen;Män;-24;63
HT2008;;Brandingenjörsexamen;Män;25-34;11
HT2008;;Brandingenjörsexamen;Män;35-;1
HT2008;;Brandingenjörsexamen;Män;Total;75
HT2008;;Brandingenjörsexamen;Total;-24;88
HT2008;;Brandingenjörsexamen;Total;25-34;15
HT2008;;Brandingenjörsexamen;Total;35-;1
HT2008;;Brandingenjörsexamen;Total;Total;104
HT2008;;Civilekonomexamen;Kvinnor;-24;857
HT2008;;Civilekonomexamen;Kvinnor;25-34;51
HT2008;;Civilekonomexamen;Kvinnor;35-;9
HT2008;;Civilekonomexamen;Kvinnor;Total;917
HT2008;;Civilekonomexamen;Män;-24;841
HT2008;;Civilekonomexamen;Män;25-34;79
HT2008;;Civilekonomexamen;Män;35-;11
HT2008;;Civilekonomexamen;Män;Total;931
HT2008;;Civilekonomexamen;Total;-24;1698
HT2008;;Civilekonomexamen;Total;25-34;130
HT2008;;Civilekonomexamen;Total;35-;20
HT2008;;Civilekonomexamen;Total;Total;1848
HT2008;;Civilingenjörsexamen;Kvinnor;-24;1738
HT2008;;Civilingenjörsexamen;Kvinnor;25-34;67
HT2008;;Civilingenjörsexamen;Kvinnor;35-;6
HT2008;;Civilingenjörsexamen;Kvinnor;Total;1811
HT2008;;Civilingenjörsexamen;Män;-24;4551
HT2008;;Civilingenjörsexamen;Män;25-34;244
HT2008;;Civilingenjörsexamen;Män;35-;36
HT2008;;Civilingenjörsexamen;Män;Total;4831
HT2008;;Civilingenjörsexamen;Total;-24;6289
HT2008;;Civilingenjörsexamen;Total;25-34;311
HT2008;;Civilingenjörsexamen;Total;35-;42
HT2008;;Civilingenjörsexamen;Total;Total;6642
HT2008;;Dietistexamen;Kvinnor;-24;35
HT2008;;Dietistexamen;Kvinnor;25-34;6
HT2008;;Dietistexamen;Kvinnor;35-;2
HT2008;;Dietistexamen;Kvinnor;Total;43
HT2008;;Dietistexamen;Män;-24;4
HT2008;;Dietistexamen;Män;25-34;2
HT2008;;Dietistexamen;Män;Total;6
HT2008;;Dietistexamen;Total;-24;39
HT2008;;Dietistexamen;Total;25-34;8
HT2008;;Dietistexamen;Total;35-;2
HT2008;;Dietistexamen;Total;Total;49
HT2008;;Djursjukvårdarexamen;Kvinnor;-24;23
HT2008;;Djursjukvårdarexamen;Kvinnor;25-34;13
HT2008;;Djursjukvårdarexamen;Kvinnor;35-;3
HT2008;;Djursjukvårdarexamen;Kvinnor;Total;39
HT2008;;Djursjukvårdarexamen;Män;-24;1
HT2008;;Djursjukvårdarexamen;Män;25-34;1
HT2008;;Djursjukvårdarexamen;Män;Total;2
HT2008;;Djursjukvårdarexamen;Total;-24;24
HT2008;;Djursjukvårdarexamen;Total;25-34;14
HT2008;;Djursjukvårdarexamen;Total;35-;3
HT2008;;Djursjukvårdarexamen;Total;Total;41
HT2008;;Folkhögskollärarexamen;Kvinnor;-24;1
HT2008;;Folkhögskollärarexamen;Kvinnor;25-34;11
HT2008;;Folkhögskollärarexamen;Kvinnor;35-;20
HT2008;;Folkhögskollärarexamen;Kvinnor;Total;32
HT2008;;Folkhögskollärarexamen;Män;25-34;5
HT2008;;Folkhögskollärarexamen;Män;35-;17
