Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2020;;;Kvinnor;-24;15633
HT2020;;;Kvinnor;25-34;7998
HT2020;;;Kvinnor;35-;6164
HT2020;;;Kvinnor;Total;29795
HT2020;;;Män;-24;13523
HT2020;;;Män;25-34;4064
HT2020;;;Män;35-;1678
HT2020;;;Män;Total;19265
HT2020;;;Total;-24;29156
HT2020;;;Total;25-34;12062
HT2020;;;Total;35-;7842
HT2020;;;Total;Total;49060
HT2020;;Agronomexamen;Kvinnor;-24;91
HT2020;;Agronomexamen;Kvinnor;25-34;16
HT2020;;Agronomexamen;Kvinnor;35-;5
HT2020;;Agronomexamen;Kvinnor;Total;112
HT2020;;Agronomexamen;Män;-24;36
HT2020;;Agronomexamen;Män;25-34;11
HT2020;;Agronomexamen;Män;35-;2
HT2020;;Agronomexamen;Män;Total;49
HT2020;;Agronomexamen;Total;-24;127
HT2020;;Agronomexamen;Total;25-34;27
HT2020;;Agronomexamen;Total;35-;7
HT2020;;Agronomexamen;Total;Total;161
HT2020;;Apotekarexamen;Kvinnor;-24;157
HT2020;;Apotekarexamen;Kvinnor;25-34;16
HT2020;;Apotekarexamen;Kvinnor;35-;2
HT2020;;Apotekarexamen;Kvinnor;Total;175
HT2020;;Apotekarexamen;Män;-24;50
HT2020;;Apotekarexamen;Män;25-34;5
HT2020;;Apotekarexamen;Män;35-;5
HT2020;;Apotekarexamen;Män;Total;60
HT2020;;Apotekarexamen;Total;-24;207
HT2020;;Apotekarexamen;Total;25-34;21
HT2020;;Apotekarexamen;Total;35-;7
HT2020;;Apotekarexamen;Total;Total;235
HT2020;;Arbetsterapeutexamen;Kvinnor;-24;142
HT2020;;Arbetsterapeutexamen;Kvinnor;25-34;156
HT2020;;Arbetsterapeutexamen;Kvinnor;35-;79
HT2020;;Arbetsterapeutexamen;Kvinnor;Total;377
HT2020;;Arbetsterapeutexamen;Män;-24;28
HT2020;;Arbetsterapeutexamen;Män;25-34;31
HT2020;;Arbetsterapeutexamen;Män;35-;9
HT2020;;Arbetsterapeutexamen;Män;Total;68
HT2020;;Arbetsterapeutexamen;Total;-24;170
HT2020;;Arbetsterapeutexamen;Total;25-34;187
HT2020;;Arbetsterapeutexamen;Total;35-;88
HT2020;;Arbetsterapeutexamen;Total;Total;445
HT2020;;Arkitektexamen;Kvinnor;-24;178
HT2020;;Arkitektexamen;Kvinnor;25-34;39
HT2020;;Arkitektexamen;Kvinnor;35-;13
HT2020;;Arkitektexamen;Kvinnor;Total;230
HT2020;;Arkitektexamen;Män;-24;116
HT2020;;Arkitektexamen;Män;25-34;26
HT2020;;Arkitektexamen;Män;35-;7
HT2020;;Arkitektexamen;Män;Total;149
HT2020;;Arkitektexamen;Total;-24;294
HT2020;;Arkitektexamen;Total;25-34;65
HT2020;;Arkitektexamen;Total;35-;20
HT2020;;Arkitektexamen;Total;Total;379
HT2020;;Audionomexamen;Kvinnor;-24;54
HT2020;;Audionomexamen;Kvinnor;25-34;29
HT2020;;Audionomexamen;Kvinnor;35-;29
HT2020;;Audionomexamen;Kvinnor;Total;112
HT2020;;Audionomexamen;Män;-24;22
HT2020;;Audionomexamen;Män;25-34;13
HT2020;;Audionomexamen;Män;35-;8
HT2020;;Audionomexamen;Män;Total;43
HT2020;;Audionomexamen;Total;-24;76
HT2020;;Audionomexamen;Total;25-34;42
HT2020;;Audionomexamen;Total;35-;37
HT2020;;Audionomexamen;Total;Total;155
HT2020;;Barnmorskeexamen;Kvinnor;-24;5
HT2020;;Barnmorskeexamen;Kvinnor;25-34;166
HT2020;;Barnmorskeexamen;Kvinnor;35-;68
HT2020;;Barnmorskeexamen;Kvinnor;Total;239
HT2020;;Barnmorskeexamen;Män;35-;1
HT2020;;Barnmorskeexamen;Män;Total;1
HT2020;;Barnmorskeexamen;Total;-24;5
HT2020;;Barnmorskeexamen;Total;25-34;166
HT2020;;Barnmorskeexamen;Total;35-;69
HT2020;;Barnmorskeexamen;Total;Total;240
HT2020;;Biomedicinsk analytikerexamen;Kvinnor;-24;381
HT2020;;Biomedicinsk analytikerexamen;Kvinnor;25-34;92
HT2020;;Biomedicinsk analytikerexamen;Kvinnor;35-;32
HT2020;;Biomedicinsk analytikerexamen;Kvinnor;Total;505
HT2020;;Biomedicinsk analytikerexamen;Män;-24;90
HT2020;;Biomedicinsk analytikerexamen;Män;25-34;30
HT2020;;Biomedicinsk analytikerexamen;Män;35-;8
HT2020;;Biomedicinsk analytikerexamen;Män;Total;128
HT2020;;Biomedicinsk analytikerexamen;Total;-24;471
HT2020;;Biomedicinsk analytikerexamen;Total;25-34;122
HT2020;;Biomedicinsk analytikerexamen;Total;35-;40
HT2020;;Biomedicinsk analytikerexamen;Total;Total;633
HT2020;;Brandingenjörsexamen;Kvinnor;-24;29
HT2020;;Brandingenjörsexamen;Kvinnor;25-34;6
HT2020;;Brandingenjörsexamen;Kvinnor;Total;35
HT2020;;Brandingenjörsexamen;Män;-24;58
HT2020;;Brandingenjörsexamen;Män;25-34;10
HT2020;;Brandingenjörsexamen;Män;35-;3
HT2020;;Brandingenjörsexamen;Män;Total;71
HT2020;;Brandingenjörsexamen;Total;-24;87
HT2020;;Brandingenjörsexamen;Total;25-34;16
HT2020;;Brandingenjörsexamen;Total;35-;3
HT2020;;Brandingenjörsexamen;Total;Total;106
HT2020;;Civilekonomexamen;Kvinnor;-24;703
HT2020;;Civilekonomexamen;Kvinnor;25-34;40
HT2020;;Civilekonomexamen;Kvinnor;35-;6
HT2020;;Civilekonomexamen;Kvinnor;Total;749
HT2020;;Civilekonomexamen;Män;-24;808
HT2020;;Civilekonomexamen;Män;25-34;53
HT2020;;Civilekonomexamen;Män;35-;4
HT2020;;Civilekonomexamen;Män;Total;865
HT2020;;Civilekonomexamen;Total;-24;1511
HT2020;;Civilekonomexamen;Total;25-34;93
HT2020;;Civilekonomexamen;Total;35-;10
HT2020;;Civilekonomexamen;Total;Total;1614
HT2020;;Civilingenjörsexamen;Kvinnor;-24;2825
HT2020;;Civilingenjörsexamen;Kvinnor;25-34;172
HT2020;;Civilingenjörsexamen;Kvinnor;35-;16
HT2020;;Civilingenjörsexamen;Kvinnor;Total;3013
HT2020;;Civilingenjörsexamen;Män;-24;5868
HT2020;;Civilingenjörsexamen;Män;25-34;477
HT2020;;Civilingenjörsexamen;Män;35-;43
HT2020;;Civilingenjörsexamen;Män;Total;6388
HT2020;;Civilingenjörsexamen;Total;-24;8693
HT2020;;Civilingenjörsexamen;Total;25-34;649
HT2020;;Civilingenjörsexamen;Total;35-;59
HT2020;;Civilingenjörsexamen;Total;Total;9401
HT2020;;Dietistexamen;Kvinnor;-24;27
HT2020;;Dietistexamen;Kvinnor;25-34;17
HT2020;;Dietistexamen;Kvinnor;35-;7
HT2020;;Dietistexamen;Kvinnor;Total;51
HT2020;;Dietistexamen;Män;-24;2
HT2020;;Dietistexamen;Män;25-34;3
HT2020;;Dietistexamen;Män;35-;1
HT2020;;Dietistexamen;Män;Total;6
HT2020;;Dietistexamen;Total;-24;29
HT2020;;Dietistexamen;Total;25-34;20
HT2020;;Dietistexamen;Total;35-;8
HT2020;;Dietistexamen;Total;Total;57
HT2020;;Folkhögskollärarexamen;Kvinnor;25-34;9
HT2020;;Folkhögskollärarexamen;Kvinnor;35-;38
HT2020;;Folkhögskollärarexamen;Kvinnor;Total;47
HT2020;;Folkhögskollärarexamen;Män;25-34;3
HT2020;;Folkhögskollärarexamen;Män;35-;9
HT2020;;Folkhögskollärarexamen;Män;Total;12
HT2020;;Folkhögskollärarexamen;Total;25-34;12
HT2020;;Folkhögskollärarexamen;Total;35-;47
HT2020;;Folkhögskollärarexamen;Total;Total;59
HT2020;;Fysioterapeutexamen;Kvinnor;-24;168
HT2020;;Fysioterapeutexamen;Kvinnor;25-34;72
HT2020;;Fysioterapeutexamen;Kvinnor;35-;27
HT2020;;Fysioterapeutexamen;Kvinnor;Total;267
HT2020;;Fysioterapeutexamen;Män;-24;80
HT2020;;Fysioterapeutexamen;Män;25-34;57
HT2020;;Fysioterapeutexamen;Män;35-;11
HT2020;;Fysioterapeutexamen;Män;Total;148
HT2020;;Fysioterapeutexamen;Total;-24;248
HT2020;;Fysioterapeutexamen;Total;25-34;129
HT2020;;Fysioterapeutexamen;Total;35-;38
HT2020;;Fysioterapeutexamen;Total;Total;415
HT2020;;Förskollärarexamen;Kvinnor;-24;1264
HT2020;;Förskollärarexamen;Kvinnor;25-34;1125
HT2020;;Förskollärarexamen;Kvinnor;35-;570
HT2020;;Förskollärarexamen;Kvinnor;Total;2959
HT2020;;Förskollärarexamen;Män;-24;103
HT2020;;Förskollärarexamen;Män;25-34;83
HT2020;;Förskollärarexamen;Män;35-;30
HT2020;;Förskollärarexamen;Män;Total;216
HT2020;;Förskollärarexamen;Total;-24;1367
HT2020;;Förskollärarexamen;Total;25-34;1208
HT2020;;Förskollärarexamen;Total;35-;600
HT2020;;Förskollärarexamen;Total;Total;3175
HT2020;;Grundlärarexamen;Kvinnor;-24;1752
HT2020;;Grundlärarexamen;Kvinnor;25-34;1092
HT2020;;Grundlärarexamen;Kvinnor;35-;530
HT2020;;Grundlärarexamen;Kvinnor;Total;3374
HT2020;;Grundlärarexamen;Män;-24;471
HT2020;;Grundlärarexamen;Män;25-34;409
HT2020;;Grundlärarexamen;Män;35-;114
HT2020;;Grundlärarexamen;Män;Total;994
HT2020;;Grundlärarexamen;Total;-24;2223
HT2020;;Grundlärarexamen;Total;25-34;1501
HT2020;;Grundlärarexamen;Total;35-;644
HT2020;;Grundlärarexamen;Total;Total;4368
HT2020;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;25-34;13
HT2020;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;35-;6
HT2020;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;Total;19
HT2020;;Hälso- och sjukvårdskuratorsexamen;Män;25-34;1
HT2020;;Hälso- och sjukvårdskuratorsexamen;Män;Total;1
HT2020;;Hälso- och sjukvårdskuratorsexamen;Total;25-34;14
HT2020;;Hälso- och sjukvårdskuratorsexamen;Total;35-;6
HT2020;;Hälso- och sjukvårdskuratorsexamen;Total;Total;20
HT2020;;Högskoleingenjörsexamen;Kvinnor;-24;938
HT2020;;Högskoleingenjörsexamen;Kvinnor;25-34;289
HT2020;;Högskoleingenjörsexamen;Kvinnor;35-;58
HT2020;;Högskoleingenjörsexamen;Kvinnor;Total;1285
HT2020;;Högskoleingenjörsexamen;Män;-24;2864
HT2020;;Högskoleingenjörsexamen;Män;25-34;861
HT2020;;Högskoleingenjörsexamen;Män;35-;188
HT2020;;Högskoleingenjörsexamen;Män;Total;3913
HT2020;;Högskoleingenjörsexamen;Total;-24;3802
HT2020;;Högskoleingenjörsexamen;Total;25-34;1150
