Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2014;;;Kvinnor;-24;15588
HT2014;;;Kvinnor;25-34;5827
HT2014;;;Kvinnor;35-;4382
HT2014;;;Kvinnor;Total;25797
HT2014;;;Män;-24;13303
HT2014;;;Män;25-34;3438
HT2014;;;Män;35-;1193
HT2014;;;Män;Total;17934
HT2014;;;Total;-24;28891
HT2014;;;Total;25-34;9265
HT2014;;;Total;35-;5575
HT2014;;;Total;Total;43731
HT2014;;Agronomexamen;Kvinnor;-24;122
HT2014;;Agronomexamen;Kvinnor;25-34;20
HT2014;;Agronomexamen;Kvinnor;Total;142
HT2014;;Agronomexamen;Män;-24;27
HT2014;;Agronomexamen;Män;25-34;7
HT2014;;Agronomexamen;Män;35-;2
HT2014;;Agronomexamen;Män;Total;36
HT2014;;Agronomexamen;Total;-24;149
HT2014;;Agronomexamen;Total;25-34;27
HT2014;;Agronomexamen;Total;35-;2
HT2014;;Agronomexamen;Total;Total;178
HT2014;;Apotekarexamen;Kvinnor;-24;142
HT2014;;Apotekarexamen;Kvinnor;25-34;17
HT2014;;Apotekarexamen;Kvinnor;35-;5
HT2014;;Apotekarexamen;Kvinnor;Total;164
HT2014;;Apotekarexamen;Män;-24;64
HT2014;;Apotekarexamen;Män;25-34;3
HT2014;;Apotekarexamen;Män;35-;3
HT2014;;Apotekarexamen;Män;Total;70
HT2014;;Apotekarexamen;Total;-24;206
HT2014;;Apotekarexamen;Total;25-34;20
HT2014;;Apotekarexamen;Total;35-;8
HT2014;;Apotekarexamen;Total;Total;234
HT2014;;Arbetsterapeutexamen;Kvinnor;-24;225
HT2014;;Arbetsterapeutexamen;Kvinnor;25-34;88
HT2014;;Arbetsterapeutexamen;Kvinnor;35-;52
HT2014;;Arbetsterapeutexamen;Kvinnor;Total;365
HT2014;;Arbetsterapeutexamen;Män;-24;33
HT2014;;Arbetsterapeutexamen;Män;25-34;24
HT2014;;Arbetsterapeutexamen;Män;35-;6
HT2014;;Arbetsterapeutexamen;Män;Total;63
HT2014;;Arbetsterapeutexamen;Total;-24;258
HT2014;;Arbetsterapeutexamen;Total;25-34;112
HT2014;;Arbetsterapeutexamen;Total;35-;58
HT2014;;Arbetsterapeutexamen;Total;Total;428
HT2014;;Arkitektexamen;Kvinnor;-24;186
HT2014;;Arkitektexamen;Kvinnor;25-34;50
HT2014;;Arkitektexamen;Kvinnor;35-;5
HT2014;;Arkitektexamen;Kvinnor;Total;241
HT2014;;Arkitektexamen;Män;-24;83
HT2014;;Arkitektexamen;Män;25-34;54
HT2014;;Arkitektexamen;Män;35-;11
HT2014;;Arkitektexamen;Män;Total;148
HT2014;;Arkitektexamen;Total;-24;269
HT2014;;Arkitektexamen;Total;25-34;104
HT2014;;Arkitektexamen;Total;35-;16
HT2014;;Arkitektexamen;Total;Total;389
HT2014;;Audionomexamen;Kvinnor;-24;57
HT2014;;Audionomexamen;Kvinnor;25-34;31
HT2014;;Audionomexamen;Kvinnor;35-;7
HT2014;;Audionomexamen;Kvinnor;Total;95
HT2014;;Audionomexamen;Män;-24;16
HT2014;;Audionomexamen;Män;25-34;12
HT2014;;Audionomexamen;Män;35-;6
HT2014;;Audionomexamen;Män;Total;34
HT2014;;Audionomexamen;Total;-24;73
