Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2007;;;Kvinnor;-24;12662
HT2007;;;Kvinnor;25-34;5050
HT2007;;;Kvinnor;35-;3569
HT2007;;;Kvinnor;Total;21281
HT2007;;;Män;-24;10601
HT2007;;;Män;25-34;2383
HT2007;;;Män;35-;823
HT2007;;;Män;Total;13807
HT2007;;;Total;-24;23263
HT2007;;;Total;25-34;7433
HT2007;;;Total;35-;4392
HT2007;;;Total;Total;35088
HT2007;;Agronomexamen;Kvinnor;-24;87
HT2007;;Agronomexamen;Kvinnor;25-34;12
HT2007;;Agronomexamen;Kvinnor;35-;4
HT2007;;Agronomexamen;Kvinnor;Total;103
HT2007;;Agronomexamen;Män;-24;22
HT2007;;Agronomexamen;Män;25-34;4
HT2007;;Agronomexamen;Män;Total;26
HT2007;;Agronomexamen;Total;-24;109
HT2007;;Agronomexamen;Total;25-34;16
HT2007;;Agronomexamen;Total;35-;4
HT2007;;Agronomexamen;Total;Total;129
HT2007;;Apotekarexamen;Kvinnor;-24;110
HT2007;;Apotekarexamen;Kvinnor;25-34;16
HT2007;;Apotekarexamen;Kvinnor;35-;5
HT2007;;Apotekarexamen;Kvinnor;Total;131
HT2007;;Apotekarexamen;Män;-24;53
HT2007;;Apotekarexamen;Män;25-34;7
HT2007;;Apotekarexamen;Män;35-;3
HT2007;;Apotekarexamen;Män;Total;63
HT2007;;Apotekarexamen;Total;-24;163
HT2007;;Apotekarexamen;Total;25-34;23
HT2007;;Apotekarexamen;Total;35-;8
HT2007;;Apotekarexamen;Total;Total;194
HT2007;;Arbetsterapeutexamen;Kvinnor;-24;191
HT2007;;Arbetsterapeutexamen;Kvinnor;25-34;66
HT2007;;Arbetsterapeutexamen;Kvinnor;35-;56
HT2007;;Arbetsterapeutexamen;Kvinnor;Total;313
HT2007;;Arbetsterapeutexamen;Män;-24;18
HT2007;;Arbetsterapeutexamen;Män;25-34;7
HT2007;;Arbetsterapeutexamen;Män;35-;2
HT2007;;Arbetsterapeutexamen;Män;Total;27
HT2007;;Arbetsterapeutexamen;Total;-24;209
HT2007;;Arbetsterapeutexamen;Total;25-34;73
HT2007;;Arbetsterapeutexamen;Total;35-;58
HT2007;;Arbetsterapeutexamen;Total;Total;340
HT2007;;Arkitektexamen;Kvinnor;-24;130
HT2007;;Arkitektexamen;Kvinnor;25-34;35
HT2007;;Arkitektexamen;Kvinnor;35-;11
HT2007;;Arkitektexamen;Kvinnor;Total;176
HT2007;;Arkitektexamen;Män;-24;65
HT2007;;Arkitektexamen;Män;25-34;34
HT2007;;Arkitektexamen;Män;35-;7
HT2007;;Arkitektexamen;Män;Total;106
HT2007;;Arkitektexamen;Total;-24;195
HT2007;;Arkitektexamen;Total;25-34;69
HT2007;;Arkitektexamen;Total;35-;18
HT2007;;Arkitektexamen;Total;Total;282
HT2007;;Audionomexamen;Kvinnor;-24;39
HT2007;;Audionomexamen;Kvinnor;25-34;17
HT2007;;Audionomexamen;Kvinnor;35-;8
HT2007;;Audionomexamen;Kvinnor;Total;64
HT2007;;Audionomexamen;Män;-24;5
HT2007;;Audionomexamen;Män;25-34;3
HT2007;;Audionomexamen;Män;35-;3
HT2007;;Audionomexamen;Män;Total;11
HT2007;;Audionomexamen;Total;-24;44
HT2007;;Audionomexamen;Total;25-34;20
HT2007;;Audionomexamen;Total;35-;11
HT2007;;Audionomexamen;Total;Total;75
HT2007;;Barnmorskeexamen;Kvinnor;-24;9
HT2007;;Barnmorskeexamen;Kvinnor;25-34;114
HT2007;;Barnmorskeexamen;Kvinnor;35-;57
